2,6,6,96,1.8355117
3,5,4,42,1.7298657
4,4,4,55,1.573393
5,3,3,51,1.4449267
6,2,2,25,1.329119
7,1,2,37,1.2694842
#
4,12,3,34,2.3599942
5,11,3,33,2.1671958
6,10,2,38,1.9927107
7,9,3,39,1.847591
8,8,2,46,1.7052904
9,7,2,34,1.5679882
10,6,2,37,1.4689089
11,5,3,37,1.3436264
12,4,3,39,1.2759506
#
2,22,6,127,3.6710234
3,21,7,115,3.4596703
4,20,5,63,3.146659
5,19,4,53,2.8895943
6,18,4,133,2.6569476
7,17,3,109,2.4634547
8,16,4,99,2.2737155
9,15,3,54,2.0906358
11,13,3,56,1.7902217
12,12,5,117,1.6987021
13,11,6,64,1.5679526
14,10,9,85,1.4569883
15,9,14,126,1.3605821
16,8,24,46,1.2897112
17,7,44,72,1.5612222
18,6,69,43,1.2022502
19,5,132,58,1.1848322
20,4,128,53,1.1812562

&False
