2,6,4,39,0.564
3,5,3,40,0.7
4,4,2,29,0.848
5,3,2,27,1.006
6,2,2,42,1.142
7,1,2,27,0.972
#
4,12,2,38,0.566
5,11,2,46,0.672
6,10,2,40,0.787
7,9,2,44,0.92
8,8,2,43,1.054
9,7,2,31,1.199
10,6,2,66,1.35
11,5,2,26,1.507
12,4,2,29,1.666
#
2,22,6,107,0.282
3,21,3,63,0.35
4,20,5,62,0.424
5,19,2,57,0.504
6,18,2,57,0.59
7,17,2,78,0.69
8,16,2,63,0.791
9,15,2,45,0.899
11,13,2,28,1.131
12,12,3,27,1.255
13,11,5,40,1.383
14,10,9,27,1.515
15,9,15,32,1.652
16,8,22,38,1.786
17,7,47,30,1.918
18,6,86,42,2.03
19,5,125,40,2.101
20,4,150,52,2.099

&False

