2,6,12914,177,1.6860981
3,5,10692,155,1.4094359
4,4,9830,166,1.2263176
5,3,8472,167,1.0566937
6,2,7410,158,0.8842828
7,1,9082,164,1.0447724
2,14,13161,225,2.5291471
3,13,11219,212,2.1135428
4,12,9873,203,1.8367702
5,11,8480,197,1.5758314
6,10,7159,182,1.2359028
7,9,6150,172,1.0437114
8,8,5616,177,0.8986708
9,7,5571,162,0.7841258
10,6,6177,160,0.69359416
11,5,7700,150,0.62266177
12,4,11343,151,0.5702636
13,3,19145,159,0.56543255
14,2,50113,158,0.7754982
15,1,180564,209,1.500111
2,22,12422,261,3.3721962
3,21,10987,243,2.818057
4,20,9285,249,2.4490268
5,19,8311,228,2.1011086
6,18,6531,214,1.6478704
7,17,5979,177,1.3916153
8,16,5456,194,1.1982278
9,15,5414,180,1.0455004
11,13,7778,167,0.8290973
12,12,10775,163,0.7513816
13,11,16913,159,0.68462265
14,10,27960,143,0.62422055
15,9,47681,141,0.56234676
16,8,84066,152,0.51413816
17,7,152928,129,0.47933036
18,6,280140,151,0.45106137
19,5,514930,150,0.42841122
20,4,977657,143,0.41985327
